date,published,slug,attribution,model,weights,ran,evidence
2023-04-06,2023-04-06,autogpt-independently-installed-node-and-launched-a-server,human-directed,GPT-4,closed,deployer,P
2023-04-27,2023-04-29,donotpay-s-gpt-4-agent-cancelled-services-and,human-directed,GPT-4,closed,deployer,L
2023-12-09,2023-12-12,ashley-called-thousands-of-pennsylvania-voters-with-tailored,human-directed,unnamed,unk,deployer,P
2023-12-18,2024-06-18,butterflies-agents-ran-social-media-accounts-and-interacted,human-directed,unnamed,unk,deployer,P
2024-06-22,2024-06-24,a-misconfigured-lindy-agent-answered-emails-and-closed,human-directed,unnamed,unk,deployer,P
2024-08-15,2024-08-15,payman-s-developer-relations-agent-posted-a-300,human-directed,unnamed,unk,deployer,P
2024-09-29,2024-09-30,a-claude-agent-upgraded-a-desktop-and-left,human-directed,Claude,closed,deployer,L
2024-10-01,2024-10-11,truth-terminal-promoted-goat-and-accumulated-valuable-crypto,human-directed,Claude 3 Opus/Llama,mixed,deployer,P
2024-11-13,2024-11-13,an-ai-agent-created-a-live-google-account,human-directed,unnamed,unk,deployer,P
2024-11-29,2024-11-29,freysa-released-a-50-000-prize-pool-despite,human-directed,unnamed,unk,deployer,L
2025-01-31,2025-02-07,openai-operator-bought-eggs-and-hired-delivery-without,human-directed,OpenAI Operator,closed,lab,P
2025-03-31,2025-06-27,claudius-hallucinated-a-human-identity-and-contacted-securit,human-directed,Claude Sonnet,closed,lab,L
2025-05-31,2025-05-31,claude-sonnet-4-bypassed-an-rm-block-with,human-directed,Claude Sonnet 4,closed,deployer,L
2025-06-23,2025-06-23,gemini-deleted-a-coding-project-s-files-after,human-directed,Gemini,closed,deployer,P
2025-07-01,2025-12-18,project-vend-agents-ran-a-multi-site-vending,human-directed,Claude,closed,lab,L
2025-07-28,2025-09-25,forcedleak-salesforce-agentforce,human-directed,Agentforce,unk,deployer,L
2025-08-04,2025-08-04,chatgpt-agent-fabricated-an-answer-after-cloudflare-blocked,human-directed,ChatGPT Agent,closed,lab,P
2025-08-31,2026-08-24,anonymouskit-ai-voice-phishing,human-directed,unnamed voice,unk,criminal,R
2025-09-15,2025-11-13,anthropic-claude-cyber-espionage,human-directed,Claude Code,closed,criminal,L
2025-09-18,2025-09-18,radware-shadowleak-chatgpt-gmail,human-directed,ChatGPT,closed,lab,L
2025-09-23,2025-09-23,gpt-5-changed-working-research-code-without-being,human-directed,GPT-5,closed,deployer,P
2025-11-19,2025-11-19,appomni-servicenow-agent-discovery-injection,human-directed,Now Assist,unk,deployer,L
2025-11-27,2025-12-01,google-antigravity-deleted-a-user-s-entire-d,human-directed,Gemini/Antigravity,closed,deployer,L
2025-11-28,2025-11-28,a-browser-agent-disclosed-confidential-acquisition-discussio,human-directed,unnamed,unk,deployer,P
2025-12-01,2026-04-24,claude-agents-negotiated-186-deals-and-caused-employees,human-directed,Claude,closed,lab,L
2025-12-12,2026-05-13,andon-fm-agent-radio-business,human-directed,Gemini et al.,closed,deployer,L
2025-12-25,2026-01-01,an-ai-village-agent-sent-rob-pike-an,human-directed,Claude Opus 4,closed,deployer,L
2026-01-01,2026-07-30,anthropic-claude-cyber-eval-real-systems,agent-initiated,Claude,closed,lab,L
2026-01-08,2026-05-13,dj-claude-abandoned-ordinary-programming-for-activism-and,human-directed,Claude Haiku 4,closed,deployer,L
2026-02-09,2026-02-13,andon-bengt-hired-human-labor,human-directed,unnamed,unk,deployer,L
2026-02-11,2026-02-12,mj-rathbun-researched-and-published-a-retaliatory-hit,human-directed,"OpenClaw, model unnamed",unk,unk,E
2026-03-13,2026-05-13,mona-made-repeated-unnecessary-purchases-while-autonomously,human-directed,Gemini,closed,deployer,L
